BOTTLE,20240810CCHHYDRO
320620180309  ,S04P       ,56      ,  1,8          ,8          ,2,20180411,0343, -66.9993,-166.1348,     3681,   2300.0,0.4152972222222222620,34.700091365709639,2,  34.6992,2,211.82808727701840,2, 211.8925,2,    212.0,2,    129.2,2,    32.84,2,     0.00,2,     2.25,2,     -999,9,     -999,9,     -999,9,   2264.3,2,  2363.84,2,   7.5912,2,    24.90,     41.4,2,     -999,9,   0.4147,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.061,1,    4.669,1,    0.127,1,     -999,9,     -999,9,20180411,0417, -67.0009,-166.1342,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,56      ,  1,7          ,7          ,2,20180411,0343, -66.9993,-166.1348,     3681,   2502.9,0.3392166666666666663,34.696023818073776,2,  34.6947,2,214.61761081655357,2, 214.5026,2,    214.6,2,    128.3,2,    32.91,2,     0.00,2,     2.26,2,    0.503,2,    0.276,2,   0.3300,2,   2263.6,2,  2363.55,2,   7.5890,2,    24.91,     39.2,2,     -999,9,   0.3387,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.062,1,    4.669,1,    0.130,1,  19.9000,2,     -999,9,20180411,0412, -67.0011,-166.1341,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,56      ,  1,6          ,6          ,2,20180411,0343, -66.9993,-166.1348,     3681,   2711.0,0.2812611111111110729,34.693770135769334,2,  34.6929,2,216.59527591876207,2, 215.7008,2,    216.9,2,    126.2,2,    32.91,2,     0.00,2,     2.24,2,    0.624,2,    0.343,2,   0.1900,2,   2263.8,2,  2362.49,2,   7.5905,2,    24.91,     42.8,2,     -999,9,   0.2828,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.061,1,    4.669,1,    0.128,1,  21.6600,4,     -999,9,20180411,0407, -67.0009,-166.1340,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,56      ,  1,5          ,5          ,2,20180411,0343, -66.9993,-166.1348,     3681,   2911.1,0.2280166666666666453,34.690020760668318,2,  34.6892,2,219.11119481716145,2, 220.8044,2,    219.0,2,    125.0,2,    32.88,2,     0.00,2,     2.25,2,    0.812,2,    0.441,2,   0.3100,2,   2262.6,2,  2360.89,2,   7.5891,2,    24.91,     -999,9,     -999,9,   0.2273,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.061,1,    4.668,1,    0.128,1,  20.1100,2,     -999,9,20180411,0403, -67.0010,-166.1340,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,56      ,  1,4          ,4          ,2,20180411,0343, -66.9993,-166.1348,     3681,   3117.8,0.2117333333333333290,34.688429293177798,3,  34.6858,2,220.60821846258941,2, 220.7958,2,    220.1,2,    124.2,2,    32.85,2,     0.00,2,     2.24,2,    0.905,2,    0.493,2,   0.4000,2,   2261.6,2,  2361.17,2,   7.5922,2,    24.91,     39.1,2,     -999,9,   0.2110,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.061,1,    4.667,1,    0.127,1,  20.2200,2,     -999,9,20180411,0358, -67.0010,-166.1338,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,56      ,  1,3          ,3          ,2,20180411,0343, -66.9993,-166.1348,     3681,   3322.9,0.2065444444444444194,34.686969689551042,3,  34.6843,2,221.19728956473142,2, 220.7964,2,    221.0,2,    123.2,2,    32.80,2,     0.00,2,     2.24,2,    0.990,6,    0.524,6,   0.2600,2,   2262.0,2,  2362.19,2,   7.5932,6,    24.92,     -999,9,     -999,9,   0.2058,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.060,1,    4.667,1,    0.127,1,  20.5600,6,     -999,9,20180411,0353, -67.0005,-166.1337,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,56      ,  1,2          ,2          ,2,20180411,0343, -66.9993,-166.1348,     3681,   3531.4,0.2158083333333332965,34.686454094448756,2,  34.6856,2,221.82168622183696,2, 220.7014,2,    221.8,2,    122.9,2,    32.79,2,     0.00,2,     2.22,2,    1.032,2,    0.565,2,   0.2800,2,   2261.5,2,  2359.46,2,   7.5898,6,    24.90,     39.2,2,     -999,9,   0.2152,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.060,1,    4.665,1,    0.128,1,  19.6100,2,     -999,9,20180411,0348, -66.9998,-166.1343,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,56      ,  1,1          ,1          ,2,20180411,0343, -66.9993,-166.1348,     3681,   3738.5,0.2325694444444444675,34.686402802128882,2,  34.6876,2,221.62492502279270,2, 219.4972,2,    221.2,2,    122.7,2,    32.76,2,     0.00,2,     2.24,2,    1.039,2,    0.557,2,   0.4400,2,   2263.5,6,  2360.49,2,   7.5911,2,    24.91,     40.2,2,     -999,9,   0.2320,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.061,1,    4.665,1,    0.127,1,  19.9000,2,     -999,9,20180411,0343, -66.9993,-166.1348,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,57      ,  1,36         ,36         ,2,20180411,1025, -66.9948,-164.7579,     3802,     10.0,-1.1992083333333336537,34.085728064899193,2,  34.0813,2,346.00346102250433,2, 346.1001,2,    346.3,2,     65.6,2,    27.01,2,     0.19,2,     1.93,2,    5.784,2,    3.143,2,   4.0700,2,   2197.9,6,  2311.52,2,   7.6464,2,    24.94,     -999,9,     -999,9,  -1.1988,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.145,1,    4.620,1,    0.179,1,  17.2900,2,     -999,9,20180411,1206, -66.9910,-164.7551,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
320620180309  ,S04P       ,57      ,  1,35         ,35         ,2,20180411,1025, -66.9948,-164.7579,     3802,     17.5,-1.1983333333333334725,34.085669835602509,2,  34.0807,2,346.37864757272280,2, 346.1025,2,    346.4,2,     65.4,2,    26.94,2,     0.19,2,     1.89,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,  -1.1993,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.136,1,    4.619,1,    0.181,1,     -999,9,     -999,9,20180411,1205, -66.9910,-164.7551,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
320620180309  ,S04P       ,57      ,  1,34         ,34         ,2,20180411,1025, -66.9948,-164.7579,     3802,     36.5,-1.1929555555555555468,34.086868843393205,2,  34.0846,2,344.54780535776433,2, 346.1018,2,    346.4,2,     65.3,2,    26.96,2,     0.19,2,     1.90,2,    5.707,2,    3.161,2,   3.5200,2,   2196.9,2,  2310.11,2,   7.6472,2,    24.95,     -999,9,     -999,9,  -1.1985,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.150,1,    4.620,1,    0.184,1,  16.7200,2,     -999,9,20180411,1205, -66.9910,-164.7551,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,57      ,  1,33         ,33         ,2,20180411,1025, -66.9948,-164.7579,     3802,     62.5,-1.1782222222222222818,34.089941470741429,2,  34.0882,2,343.79878086678468,2, 346.3942,2,    345.2,2,     65.5,2,    27.00,2,     0.19,2,     1.90,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,  -1.1911,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.140,1,    4.620,1,    0.176,1,     -999,9,     -999,9,20180411,1204, -66.9910,-164.7551,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
320620180309  ,S04P       ,57      ,  1,32         ,32         ,2,20180411,1025, -66.9948,-164.7579,     3802,     87.4,-1.1629333333333331524,34.093130911874077,2,  34.0901,2,344.13634009997998,2, 343.6032,2,    344.9,2,     65.8,2,    27.01,2,     0.19,2,     1.91,2,     -999,9,     -999,9,     -999,9,   2199.0,2,  2311.79,2,   7.6457,2,    24.93,     -999,9,     -999,9,  -1.1639,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.135,1,    4.620,1,    0.179,1,     -999,9,     -999,9,20180411,1203, -66.9911,-164.7552,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,57      ,  1,31         ,31         ,2,20180411,1025, -66.9948,-164.7579,     3802,    112.8,-1.4074583333333334778,34.355859552877497,2,  34.3578,2,300.02458088287881,3, 279.4988,2,    279.5,2,     75.5,2,    30.74,2,     0.11,2,     2.11,2,     -999,9,     -999,9,     -999,9,   2230.2,2,  2323.75,2,   7.5908,2,    24.95,     -999,9,     -999,9,  -1.4345,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.101,1,    4.635,1,    0.161,1,     -999,9,     -999,9,20180411,1202, -66.9913,-164.7552,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
320620180309  ,S04P       ,57      ,  1,30         ,30         ,2,20180411,1025, -66.9948,-164.7579,     3802,    138.5,-0.4259611111111111237,34.476556436554979,2,  34.4726,2,256.13316242759237,3, 245.6999,2,    243.7,2,     81.7,2,    31.79,2,     0.01,2,     2.18,2,    2.655,2,    1.441,2,   1.6100,2,   2243.6,2,  2331.61,2,   7.5752,2,    24.94,     -999,9,     -999,9,  -0.5694,3,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.074,1,    4.657,1,    0.143,1,  20.7800,2,     -999,9,20180411,1201, -66.9914,-164.7552,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,57      ,  1,29         ,29         ,2,20180411,1025, -66.9948,-164.7579,     3802,    184.7,1.0994194444444442826,34.657099427627230,2,  34.6642,2,194.57047751541870,3, 196.0020,3,    188.9,2,     92.7,2,    32.98,2,     0.00,2,     2.24,2,     -999,9,     -999,9,     -999,9,   2261.0,2,  2347.59,2,   7.5606,2,    24.93,     -999,9,     -999,9,   0.9681,3,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.069,1,    4.658,1,    0.143,1,     -999,9,     -999,9,20180411,1159, -66.9915,-164.7553,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
320620180309  ,S04P       ,57      ,  1,28         ,28         ,2,20180411,1025, -66.9948,-164.7579,     3802,    235.8,1.4599972222222223905,34.716881112277832,2,  34.7147,2,182.73091064538767,2, 184.3024,2,    183.4,2,     97.3,2,    32.81,2,     0.00,2,     2.25,2,     -999,9,     -999,9,     -999,9,   2263.8,2,  2350.94,2,   7.5653,2,    24.94,     -999,9,     -999,9,   1.4536,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.065,1,    4.657,1,    0.146,1,     -999,9,     -999,9,20180411,1157, -66.9917,-164.7554,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
320620180309  ,S04P       ,57      ,  1,27         ,27         ,2,20180411,1025, -66.9948,-164.7579,     3802,    285.1,1.4679777777777776038,34.725032353701806,2,  34.7221,2,182.95659028953443,2, 183.8987,2,    183.6,2,     98.8,2,    32.70,2,     0.00,2,     2.24,2,    0.295,2,    0.156,2,   0.0800,2,   2263.3,6,  2352.79,2,   7.5736,6,    24.94,     -999,9,     -999,9,   1.4676,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.063,1,    4.660,1,    0.139,1,  22.0700,2,     -999,9,20180411,1155, -66.9919,-164.7555,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
320620180309  ,S04P       ,57      ,  1,26         ,26         ,2,20180411,1025, -66.9948,-164.7579,     3802,    337.3,1.4336388888888889070,34.729633908696577,2,  34.7270,2,183.98027600851128,2, 184.4984,2,    184.5,2,    100.8,2,    32.56,2,     0.00,2,     2.22,2,     -999,9,     -999,9,     -999,9,   2263.7,2,  2357.25,2,   7.5733,6,    24.94,     -999,9,     -999,9,   1.4356,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.062,1,    4.662,1,    0.137,1,     -999,9,     -999,9,20180411,1153, -66.9920,-164.7555,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,57      ,  1,25         ,25         ,2,20180411,1025, -66.9948,-164.7579,     3802,    385.6,1.3894805555555558296,34.730788257387466,2,  34.7284,2,185.37407724888800,2, 185.4023,2,    185.8,2,    102.5,2,    32.58,2,     0.00,2,     2.22,2,     -999,9,     -999,9,     -999,9,   2264.3,2,  2357.28,2,   7.5739,2,    24.94,     -999,9,     -999,9,   1.3886,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.061,1,    4.665,1,    0.137,1,     -999,9,     -999,9,20180411,1152, -66.9918,-164.7554,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
320620180309  ,S04P       ,57      ,  1,24         ,24         ,2,20180411,1025, -66.9948,-164.7579,     3802,    435.7,1.3553694444444444045,34.731316250605609,2,  34.7288,2,186.04691106605492,2, 186.2016,2,    185.8,2,    103.8,2,    32.54,2,     0.00,2,     2.22,2,     -999,9,     -999,9,     -999,9,   2264.4,2,  2356.83,2,   7.5753,2,    24.93,     -999,9,     -999,9,   1.3573,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.062,1,    4.667,1,    0.135,1,     -999,9,     -999,9,20180411,1150, -66.9917,-164.7555,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,57      ,  1,23         ,23         ,2,20180411,1025, -66.9948,-164.7579,     3802,    488.5,1.3145083333333331677,34.730982213592760,2,  34.7282,2,187.13982483502463,2, 187.1004,2,    186.5,2,    105.5,2,    32.53,2,     0.00,2,     2.22,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   1.3147,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.061,1,    4.666,1,    0.136,1,     -999,9,     -999,9,20180411,1148, -66.9916,-164.7554,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
320620180309  ,S04P       ,57      ,  1,22         ,37         ,2,20180411,1025, -66.9948,-164.7579,     3802,    568.1,1.2481305555555555209,34.730023553531318,2,  34.7276,2,188.76645050053057,2, 188.5977,2,    187.8,2,    108.5,2,    32.57,2,     0.00,2,     2.21,2,     -999,9,     -999,9,     -999,9,   2265.2,2,  2359.36,2,   7.5785,2,    24.95,     -999,9,     -999,9,   1.2506,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.062,1,    4.665,1,    0.134,1,     -999,9,     -999,9,20180411,1146, -66.9914,-164.7554,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,57      ,  1,21         ,21         ,2,20180411,1025, -66.9948,-164.7579,     3802,    669.2,1.1953500000000001346,34.728559198242152,2,  34.7266,2,190.58764120803465,2, 189.7043,2,    189.3,2,    110.2,2,    32.52,2,     0.00,2,     2.22,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   1.1948,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.063,1,    4.665,1,    0.134,1,     -999,9,     -999,9,20180411,1143, -66.9911,-164.7554,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
320620180309  ,S04P       ,57      ,  1,20         ,20         ,2,20180411,1025, -66.9948,-164.7579,     3802,    772.0,1.1202722222222221138,34.726104962565088,2,  34.7247,2,192.84341856861664,2, 191.6926,2,    192.4,2,    112.4,2,    32.45,2,     0.00,2,     2.22,2,    0.131,2,    0.077,2,   0.0300,2,   2265.0,2,  2360.43,2,   7.5855,2,    24.92,     -999,9,     -999,9,   1.1202,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.063,1,    4.666,1,    0.132,1,  20.5200,2,     -999,9,20180411,1140, -66.9908,-164.7555,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,57      ,  1,19         ,19         ,2,20180411,1025, -66.9948,-164.7579,     3802,    872.6,1.0503055555555556033,34.723605221859671,2,  34.7219,2,195.05105130074026,2, 193.8041,2,    195.0,2,    114.1,2,    32.42,2,     0.00,2,     2.22,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   1.0512,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.061,1,    4.666,1,    0.133,1,     -999,9,     -999,9,20180411,1138, -66.9910,-164.7554,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
320620180309  ,S04P       ,57      ,  1,18         ,18         ,2,20180411,1025, -66.9948,-164.7579,     3802,    974.5,0.9851444444444444892,34.721189343366696,2,  34.7198,2,197.10780478989736,2, 196.0973,2,    197.3,2,    115.9,2,    32.40,2,     0.00,2,     2.21,2,     -999,9,     -999,9,     -999,9,   2264.5,2,  2362.14,2,   7.5907,2,    24.92,     -999,9,     -999,9,   0.9856,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.061,1,    4.667,1,    0.130,1,     -999,9,     -999,9,20180411,1135, -66.9914,-164.7557,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,57      ,  1,17         ,17         ,2,20180411,1025, -66.9948,-164.7579,     3802,   1076.0,0.9198833333333333862,34.718416923210889,2,  34.7166,2,198.87052812200599,2, 198.3938,2,    199.1,2,    117.3,2,    32.40,2,     0.00,2,     2.22,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   0.9234,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.061,1,    4.667,1,    0.131,1,     -999,9,     -999,9,20180411,1133, -66.9916,-164.7558,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
320620180309  ,S04P       ,57      ,  1,16         ,16         ,2,20180411,1025, -66.9948,-164.7579,     3802,   1176.6,0.8747138888888890129,34.716417138133657,2,  34.7155,2,200.60140225267799,2, 199.6986,2,    200.7,2,    119.1,2,    32.43,2,     0.00,2,     2.21,2,    0.127,2,    0.067,2,   0.0200,2,   2263.4,2,  2361.47,2,   7.5935,2,    24.95,     -999,9,     -999,9,   0.8753,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.061,1,    4.667,1,    0.131,1,  19.8800,2,     -999,9,20180411,1130, -66.9918,-164.7559,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,57      ,  1,15         ,15         ,2,20180411,1025, -66.9948,-164.7579,     3802,   1278.7,0.8247249999999999304,34.714311756698919,2,  34.7133,2,202.03326153189403,2, 200.9016,2,    202.0,2,    120.9,2,    32.44,2,     0.00,2,     2.22,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   0.8255,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.061,1,    4.667,1,    0.130,1,     -999,9,     -999,9,20180411,1127, -66.9922,-164.7561,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
320620180309  ,S04P       ,57      ,  1,14         ,14         ,2,20180411,1025, -66.9948,-164.7579,     3802,   1379.8,0.7629944444444446416,34.711874973901438,2,  34.7100,2,203.19024979617149,2, 202.9037,2,    203.2,2,    122.9,2,    32.44,2,     0.00,2,     2.20,2,     -999,9,     -999,9,     -999,9,   2263.9,2,  2363.81,2,   7.5958,2,    24.90,     -999,9,     -999,9,   0.7636,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.061,1,    4.668,1,    0.128,1,     -999,9,     -999,9,20180411,1125, -66.9927,-164.7564,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,57      ,  1,13         ,13         ,2,20180411,1025, -66.9948,-164.7579,     3802,   1483.1,0.7257666666666666710,34.710427222733593,2,  34.7094,2,204.37818413729730,2, 203.9015,2,    203.8,2,    123.8,2,    32.43,2,     0.00,2,     2.22,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   0.7264,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.061,1,    4.668,1,    0.128,1,     -999,9,     -999,9,20180411,1122, -66.9931,-164.7568,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
